Ticker,Company,Sector,Industry
ULTA,Ulta Beauty Inc,Consumer Cyclical,Specialty Retail
UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans
UNP,Union Pacific Corp.,Industrials,Railroads
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services
USB,U.S. Bancorp.,Financial,Banks - Regional
V,Visa Inc,Financial,Credit Services
VFC,VF Corp.,Consumer Cyclical,Apparel Manufacturing
VICI,VICI Properties Inc,Real Estate,REIT - Diversified
VLO,Valero Energy Corp.,Energy,Oil & Gas Refining & Marketing
VLTO,Veralto Corp,Industrials,Pollution & Treatment Controls
VMC,Vulcan Materials Co,Basic Materials,Building Materials
VRSK,Verisk Analytics Inc,Industrials,Consulting Services
VRSN,Verisign Inc.,Technology,Software - Infrastructure
VRTX,"Vertex Pharmaceuticals, Inc.",Healthcare,Biotechnology
VTR,Ventas Inc,Real Estate,REIT - Healthcare Facilities
VTRS,Viatris Inc,Healthcare,Drug Manufacturers - Specialty & Generic
VZ,Verizon Communications Inc,Communication Services,Telecom Services
WAB,Westinghouse Air Brake Technologies Corp,Industrials,Railroads
WAT,Waters Corp.,Healthcare,Diagnostics & Research
WBA,Walgreens Boots Alliance Inc,Healthcare,Pharmaceutical Retailers
WBD,Warner Bros. Discovery Inc,Communication Services,Entertainment
WDC,Western Digital Corp.,Technology,Computer Hardware
WEC,WEC Energy Group Inc,Utilities,Utilities - Regulated Electric
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities
WFC,Wells Fargo & Co.,Financial,Banks - Diversified
WHR,Whirlpool Corp.,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WM,"Waste Management, Inc.",Industrials,Waste Management
WMB,Williams Cos Inc,Energy,Oil & Gas Midstream
WMT,Walmart Inc,Consumer Defensive,Discount Stores
WRB,W.R. Berkley Corp.,Financial,Insurance - Property & Casualty
WRK,WestRock Co,Consumer Cyclical,Packaging & Containers
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies
WTW,Willis Towers Watson Public Limited Co,Financial,Insurance Brokers
WY,Weyerhaeuser Co.,Real Estate,REIT - Specialty
WYNN,Wynn Resorts Ltd.,Consumer Cyclical,Resorts & Casinos
XEL,"Xcel Energy, Inc.",Utilities,Utilities - Regulated Electric
XOM,Exxon Mobil Corp.,Energy,Oil & Gas Integrated
XRAY,DENTSPLY Sirona Inc,Healthcare,Medical Instruments & Supplies
XYL,Xylem Inc,Industrials,Specialty Industrial Machinery
YUM,Yum Brands Inc.,Consumer Cyclical,Restaurants
ZBH,Zimmer Biomet Holdings Inc,Healthcare,Medical Devices
ZBRA,Zebra Technologies Corp.,Technology,Communication Equipment
ZION,Zions Bancorporation N.A,Financial,Banks - Regional
ZTS,Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic
